Country,Longitude,Latitude
Isle of Man,-4.532995055,54.22855301
Jersey,-2.129160116,49.21539693
United Kingdom,-2.852943909,53.97844735
Iceland,-19.05682967,65.1236092
Faroe Islands,-6.981106091,62.13089628
Svalbard,16.03637885,78.57318936
Bouvet Island,3.411969465,-54.42316679
New Zealand,170.6903554,-43.82765433
Angola,17.65176878,-12.16742406
Botswana,23.85779957,-22.236609
Burundi,29.88518228,-3.261251993
Comoros,43.34826587,-11.65886147
Congo,14.87973285,-0.72943916
Congo DRC,23.41982757,-3.338629596
Gabon,11.8394109,-0.62844846
Kenya,37.95309411,0.689918232
Lesotho,28.24475318,-29.60168117
Malawi,34.23441182,-13.12898646
Juan De Nova Island,42.74374761,-17.06449194
Mozambique,35.20857703,-17.52523031
Namibia,18.16451346,-21.90858163
Rwanda,29.91943968,-2.01468746
Sao Tome and Principe,6.606158797,0.227447043
South Africa,24.75252746,-28.55361931
Eswatini,31.51068575,-26.56254094
Tanzania,34.81832206,-6.35579444
Zambia,27.75521363,-13.16283295
Zimbabwe,29.71782964,-18.92700122
French Southern Territories,69.54686985,-49.26329687
Heard Island and McDonald Islands,73.49298561,-53.08417004
Madagascar,46.68493467,-19.04163612
Mauritius,57.56415671,-20.28142317
Mayotte,45.12814233,-12.82446842
Glorioso Islands,47.29094808,-11.56622487
Réunion,55.54393506,-21.11982546
Seychelles,55.4725079,-4.660002319
Algeria,2.655846472,28.35096974
Benin,2.305714529,9.5030132
Cameroon,12.94847414,6.294168487
Central African Republic,20.52074342,6.331390034
Chad,18.4271139,15.28349355
Equatorial Guinea,10.42545667,1.595464394
Kiribati,-157.3902419,1.867667375
Libya,17.91133392,27.20291577
Malta,14.44192244,35.89052265
Niger,8.86863247,17.08105392
Nigeria,8.147714845,9.61029352
Togo,0.899085757,8.660743038
Tunisia,9.655875517,34.0863618
Cyprus,33.37534601,35.11700416
Djibouti,42.6134969,11.75023573
Egypt,30.24013544,26.60517034
Eritrea,39.26724014,15.00553315
Ethiopia,39.91490289,8.729389557
Greece,23.11036894,39.42012262
Iraq,43.83252918,33.10507567
Israel,35.02792347,31.51354222
Jordan,36.95728885,31.38706488
Lebanon,35.89651946,33.91160171
South Sudan,30.38518569,7.657782042
Sudan (...2011),29.95145828,15.67060231
Syria,38.51173231,35.09751106
Turkey,35.56886764,38.93207363
Uganda,32.34371768,1.282172922
Andorra,1.580224361,42.54859835
USA,-96.33161661,38.82080892
France,2.194023663,46.64236822
Liechtenstein,9.547674672,47.14627562
Monaco,7.412820873,43.74798225
Switzerland,8.286928795,46.73678129
Belgium,4.675010155,50.61821389
Germany,10.42617143,51.0830454
Luxembourg,6.103230338,49.77523455
Netherlands,5.554136426,52.13405413
Albania,20.06108277,41.14165895
Austria,13.79777836,47.63185827
Bosnia Herzegovina,17.83467241,44.14415356
Croatia,16.62576113,44.91192101
Czech Republic,15.38327329,49.74917371
Denmark,9.378670542,56.00118818
Hungary,19.39620048,47.22527332
Italy,12.76365717,42.98201128
Montenegro,19.29505087,42.73694835
Poland,19.43573279,52.06848056
San Marino,12.46127835,43.94282073
Serbia,20.85677444,44.0267987
Slovakia,19.58101536,48.69808391
Slovenia,14.8906369,46.1375923
North Macedonia,21.70998924,41.5940289
Vatican City,12.45131292,41.90402351
Norway,16.67025927,64.97775883
Sweden,17.06243199,62.73420986
Belarus,27.96425205,53.46791375
Bulgaria,25.25173912,42.82043677
Estonia,25.91687025,58.64810831
Finland,25.65738433,65.0157896
Georgia,43.37886653,42.17986278
Latvia,24.69367133,56.81385305
Lithuania,23.94602161,55.29437393
Moldova,28.39111187,47.07256746
Romania,25.0941582,45.82454894
Ukraine,31.27377208,48.65753252
Afghanistan,66.59216131,34.13402601
Bahrain,50.5406954,26.04798502
India,81.17300409,23.58630057
Iran,54.237077,32.90602374
Kuwait,47.56311109,29.28136097
Maldives,73.10076245,-0.606557717
Nepal,84.13388983,28.3009207
Oman,55.84108812,20.72428332
Pakistan,69.08835091,30.11618837
Qatar,51.19794919,25.31852849
Saudi Arabia,44.60095818,24.13603814
Somalia,45.40037867,6.524534573
Sri Lanka,80.6693117,7.696630939
Tajikistan,70.94215281,38.56933138
Turkmenistan,58.45773576,39.06069118
United Arab Emirates,54.27920526,24.18250292
Yemen,47.46815793,16.00139262
Armenia,45.05490832,40.17841274
Azerbaijan,48.63459267,40.39205099
Kazakhstan,66.37591935,47.6414652
Kyrgyzstan,74.17532903,41.35698905
Uzbekistan,63.85482976,41.48790652
Christmas Island,105.7020951,-10.4464408
Cocos Islands,96.83688767,-12.17124945
Indonesia,113.9653825,0.1559198
Timor-Leste,125.9502405,-8.809894631
Australia,134.0227717,-25.69733767
Nauru,166.9293763,-0.522102144
New Caledonia,165.5076704,-21.33003373
Norfolk Island,167.952596,-29.03765445
Papua New Guinea,144.8348943,-7.156912819
Solomon Islands,160.164758,-9.613104735
Tuvalu,179.217834,-8.514701506
Vanuatu,166.8491274,-15.18913212
Cambodia,105.0397308,12.69918687
Laos,103.763759,18.11728274
Malaysia,114.633303,3.671660856
Myanmar,97.08892285,19.90122793
Singapore,103.8102576,1.352825189
Thailand,101.0867512,13.66222785
Vietnam,105.9133883,16.51734717
Bangladesh,90.43212563,23.67372867
Bhutan,90.46716647,27.42163934
China,104.6911386,38.07325481
Brunei Darussalam,114.6430958,4.54320589
Philippines,121.8220894,15.58654225
Rep. of Korea,127.7622455,36.40238671
Mongolia,103.398736,47.08644455
Dem. People's Rep. of Korea,127.3379806,40.19198091
Guam,144.7802446,13.44543048
Japan,137.4693423,36.76738833
Micronesia,158.2291899,6.878944813
Palau,134.5796509,7.534775853
Russian Federation,98.67049907,59.03943421
Spain,-3.651625141,40.36500834
Canarias,-16.53799441,28.29766511
Bolivia (Plurinational State of),-64.45209598,-16.73124884
Cayman Isds,-81.25203209,19.31123181
State of Palestine,35.24251184,31.93081874
Curaçao,-68.96939769,12.19999665
Br. Indian Ocean Terr.,72.43501618,-7.323548444
Marshall Isds,168.7201603,7.307929901
Netherlands Antilles (...2010),-68.75,12.25
N. Mariana Isds,145.7411974,15.17806352
